1,1,0.0055248618784530384,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
1,2,0.0055248618784530384,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
1,3,0.0055248618784530384,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 13(0)])
1,4,0.0055248618784530384,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
2,1,0.011049723756906077,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
2,2,0.011049723756906077,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
2,3,0.011049723756906077,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 15(0)])
2,4,0.011049723756906077,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
3,1,0.016574585635359115,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
3,2,0.016574585635359115,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
3,3,0.016574585635359115,RandomParty@50,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 15(0)])
3,4,0.016574585635359115,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
4,1,0.022099447513812154,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
4,2,0.022099447513812154,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
4,3,0.022099447513812154,RandomParty@50,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 13(0)])
4,4,0.022099447513812154,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 15(0)])
5,1,0.027624309392265192,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
5,2,0.027624309392265192,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
5,3,0.027624309392265192,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 17(0)])
5,4,0.027624309392265192,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
6,1,0.03314917127071823,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
6,2,0.03314917127071823,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
6,3,0.03314917127071823,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 17(0)])
6,4,0.03314917127071823,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 15(0)])
