1,1,0.0055248618784530384,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 17(0)])
1,2,0.0055248618784530384,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
2,1,0.011049723756906077,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 17(0)])
2,2,0.011049723756906077,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 13(0)])
3,1,0.016574585635359115,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
3,2,0.016574585635359115,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 15(0)])
4,1,0.022099447513812154,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
4,2,0.022099447513812154,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 13(0)])
5,1,0.027624309392265192,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
5,2,0.027624309392265192,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
6,1,0.03314917127071823,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
6,2,0.03314917127071823,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
7,1,0.03867403314917127,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 17(0)])
7,2,0.03867403314917127,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
8,1,0.04419889502762431,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
8,2,0.04419889502762431,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 13(0)])
9,1,0.049723756906077346,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
9,2,0.049723756906077346,RandomParty2@9,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
10,1,0.055248618784530384,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
10,2,0.055248618784530384,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 13(0)])
11,1,0.06077348066298342,RandomParty@8,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
11,2,0.06077348066298342,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 17(0)])
12,1,0.06629834254143646,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 17(0)])
12,2,0.06629834254143646,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 15(0)])
13,1,0.0718232044198895,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
13,2,0.0718232044198895,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
14,1,0.07734806629834254,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
14,2,0.07734806629834254,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 13(0)])
15,1,0.08287292817679558,RandomParty@8,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 13(0)])
15,2,0.08287292817679558,RandomParty2@9,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
16,1,0.08839779005524862,RandomParty@8,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
16,2,0.08839779005524862,RandomParty2@9,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 13(0)])
