1,1,0.16666666666666666,ExampleAgent@33,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
1,2,0.16666666666666666,ExampleAgent@34,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
1,3,0.16666666666666666,ExampleAgent@35,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 13(0)])
2,1,0.3333333333333333,ExampleAgent@33,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
2,2,0.3333333333333333,ExampleAgent@34,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
2,3,0.3333333333333333,ExampleAgent@35,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 13(0)])
3,1,0.5,ExampleAgent@33,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 13(0)])
3,2,0.5,ExampleAgent@34,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 13(0)])
3,3,0.5,ExampleAgent@35,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 17(0)])
4,1,0.6666666666666666,ExampleAgent@33,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 17(0)])
4,2,0.6666666666666666,ExampleAgent@34,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 17(0)])
agreement,Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 17(0)],0.25738560809312516,0.9292804515128394,0.5212902734496789
