sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0.134;94;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@0;ExampleAgent@1;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.102;101;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@2;ExampleAgent@3;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.096;102;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@4;ExampleAgent@5;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.101;102;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@6;ExampleAgent@7;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.100;102;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@8;ExampleAgent@9;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.075;95;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@10;ExampleAgent@11;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.078;94;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@12;ExampleAgent@13;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.118;113;;180rounds;Yes;No;2;0.76829;0.81152;0.08963;0.08963;1.57980;ExampleAgent@14;ExampleAgent@15;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;0.8115157621506408;0.7682877193340536;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.096;98;;180rounds;Yes;No;2;0.82122;0.85921;0.00000;0.10500;1.68043;ExampleAgent@16;ExampleAgent@17;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;0.8212180535448242;0.85921285310326;lab2_laptop_util7.xml;lab2_laptop_util8.xml
0.081;96;;180rounds;Yes;No;2;0.78849;0.89884;0.00000;0.00000;1.68733;ExampleAgent@18;ExampleAgent@19;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;0.8988363846982912;0.7884933046160995;lab2_laptop_util7.xml;lab2_laptop_util8.xml
